Load Config : /home/mataeoh/Work/GuineaPig/Configure/Config.ini
Saved Config : /home/mataeoh/Work/GuineaPig/Configure/Config.ini

Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..._bootstrap>:870 _find_spec_legacy  33     0.000115  0.000376  0.000011
..es/numpy/ma/core.py:775 _DomainTan  10     0.000054  0.000373  0.000037
..n3.5/sre_compile.py:376 <listcomp>  27     0.000371  0.000371  0.000014
..L/GL/VERSION/GL_1_5.py:43 <lambda>  400    0.000364  0.000364  0.000001
..5/threading.py:1224 current_thread  113    0.000280  0.000362  0.000003
..figparser.py:1283 ConverterMapping  1      0.000004  0.000360  0.000360
..ib/python3.5/enum.py:121 <setcomp>  8      0.000354  0.000354  0.000044
..5/datetime.py:247 _check_int_field  108    0.000222  0.000353  0.000003
..it__.py:1183 Manager._fixupParents  19     0.000224  0.000352  0.000019
..53 ResourceManager.resource_stream  1      0.000011  0.000345  0.000345
..arse.py:161 SubPattern.__setitem__  293    0.000343  0.000343  0.000001
..:808 SourceFileLoader.get_filename  417    0.000333  0.000333  0.000001
..init__.py:370 DistributionNotFound  97     0.000239  0.000332  0.000003
..es/__init__.py:319 ResolutionError  2      0.000032  0.000329  0.000165
..ges/numpy/ctypeslib.py:51 <module>  5      0.000130  0.000328  0.000066
..ays/arrayhelpers.py:88 asArrayType  251    0.000326  0.000326  0.000001
..s/numpy/lib/_iotools.py:3 <module>  1      0.000040  0.000324  0.000324
..g/Utilities/Logger.py:11 getLogger  2      0.000014  0.000324  0.000162
..cessing/synchronize.py:11 <module>  1      0.000044  0.000321  0.000321
..rs.py:276 _require_version_compare  7      0.000046  0.000321  0.000046
..ib/python3.5/signal.py:10 <lambda>  75     0.000198  0.000320  0.000004
...py:1293 ConverterMapping.__init__  1      0.000122  0.000315  0.000315
..B/get_program_binary.py:1 <module>  1      0.000061  0.000314  0.000314
..bootstrap_external>:1181 <genexpr>  384    0.000313  0.000313  0.000001
..tilities/Logger.py:28 createLogger  2      0.000065  0.000311  0.000155
..thon3.5/sre_parse.py:797 fix_flags  76     0.000247  0.000310  0.000004
..653 SourceFileLoader.create_module  417    0.000308  0.000308  0.000001
..lections/__init__.py:405 <genexpr>  53     0.000139  0.000308  0.000006
.._.py:1501 Logger.getEffectiveLevel  234    0.000305  0.000305  0.000001
..ging/__init__.py:695 Logger.filter  224    0.000301  0.000301  0.000001
..on3.5/ctypes/__init__.py:184 c_int  2      0.000137  0.000300  0.000150
..s/OpenGL/converters.py:7 Converter  158    0.000299  0.000299  0.000002
..on/lib/python3.5/imp.py:7 <module>  1      0.000134  0.000297  0.000297
..il/parser.py:127 BytesHeaderParser  46     0.000164  0.000292  0.000006
..860 _MaskedUnaryOperation.__init__  27     0.000174  0.000291  0.000011
..ersion.py:342 _parse_local_version  288    0.000286  0.000286  0.000001
..thon3.5/_compression.py:1 <module>  1      0.000010  0.000285  0.000285
..types/__init__.py:262 _reset_cache  1      0.000159  0.000285  0.000285
..nfigparser.py:762 ConfigParser.get  14/7   0.000080  0.000276  0.000020
..nGL/GL/shaders.py:86 ShaderProgram  2      0.000022  0.000274  0.000137
...5/random.py:220 Random._randbelow  48     0.000181  0.000273  0.000006
..ARB/uniform_buffer_object.py:12 _f  7      0.000018  0.000272  0.000039
..ces/__init__.py:3057 _find_adapter  28     0.000138  0.000272  0.000010
..3.5/os.py:678 _Environ.__getitem__  28     0.000126  0.000269  0.000010
../__init__.py:2287 _is_unpacked_egg  44     0.000168  0.000267  0.000006
..numpy/core/getlimits.py:3 <module>  1      0.000033  0.000261  0.000261
..ile.py:146 _RandomNameSequence.rng  6      0.000029  0.000261  0.000044
..5/contextlib.py:103 contextmanager  5      0.000054  0.000260  0.000052
..n3.5/subprocess.py:1611 Popen.wait  3      0.000076  0.000257  0.000086
.._weakrefset.py:58 WeakSet.__iter__  19     0.000110  0.000256  0.000013
..n3.5/selectors.py:334 PollSelector  2      0.000250  0.000256  0.000128
..sources/__init__.py:610 WorkingSet  11     0.000120  0.000254  0.000023
..olicybase.py:99 _extend_docstrings  1      0.000120  0.000253  0.000253
../numpy/core/records.py:36 <module>  1      0.000041  0.000252  0.000252
..7 _SixMetaPathImporter._add_module  100    0.000252  0.000252  0.000003
..exture_buffer_object.py:1 <module>  1      0.000051  0.000248  0.000248
../core.py:7709 _convert2ma.__init__  8      0.000033  0.000246  0.000031
../ARB/texture_storage.py:1 <module>  1      0.000059  0.000246  0.000246
..re/Configure.py:50 Config.setValue  2      0.000062  0.000245  0.000123
